Mouse ID#,Sex,Tansoral Exposure,Body Weight (g),Spleen Weight (g),BALF Cell Number,BALF Protein (ug/ml),LDH Activity(milliunits/mL),TGF-b (pg/ml),IL-6 (pg/ml),TNF-a (pg/ml),Perivasculitis & Peribronchitis,Alveolitis,Total Lung Score,ANA Score Pre,ANA Score 4 wk,ANA score 8wk,ANA Score 12 wk,ENA5 (U),IgM RF (ng/ml),anti-chromatin (U),anti-SSA (U),anti-SSB (U),anti-RNP (U),anti-Sm (U),anti-dsDNA  (U),Total IgM (ug/ml),Total IgG (ug/ml),Urine Protein (ug/ml),GN Score
275,F,PBS,32.36,0.08,469000,312.0625,0,71.011065,1023.171,114.4689,0,0,0,0,0,0,3,541.0964833,77.15496,25.95,25.63547407,24.74959612,625.3908693,625.3908693,2283.755071,257.6379,354.7953566,11154.375,0
276,F,10mg,23.38,0.05,4400000,951.5,0,116.669295,195.5472,65.94943,72,134,206,0,0,0,3,664.6391471,196.05592,16.48125,57.34303326,19.39820743,625.3908693,583.3489681,1183.984879,556.1666,6790.114206,7007.5,0
277,F,10mg,28.14,0.13,26900000,3384.78562,0,310.96665,578.4949,136.5565,275,255,530,0,0,0,3,738.7233461,211.3018,18.58125,17.49569954,29.79086641,625.3908693,625.3908693,4320.279366,364.3494,7334.436435,15478.125,0
278,F,10mg,34.86,0.13,2770000,425.375,0.044286159,81.888465,128.5989,42.18787,108,83,191,0,3,0,0,41.88080919,63.4863,13.8875,NA,NA,NA,NA,NA,396.7287,4334.494402,8573.75,0
279,F,10mg,26.75,0.06,1340000,802.1875,1.002780479,91.38897,137.2095,44.66237,133,76,209,0,0,0,2,51.2438491,86.26978,13.39375,NA,NA,NA,NA,NA,325.8788,6233.920109,12958.75,0
280,F,10mg,30.12,0.11,4280000,661.6875,0,126.94242,135.1811,75.94774,223,142,365,0,1,0,0,NA,7629.506,12.44375,NA,NA,NA,NA,NA,579.3497,3686.620404,15410.625,0
281,F,10mg,24.54,0.08,3470000,1269.9375,0,224.14785,331.9778,70.64189,135,123,258,0,1,0,2,98.81082559,711.8522,17.5875,NA,NA,NA,NA,NA,670.5991,9311.231249,11608.125,0
282,F,10mg,29.62,0.11,1380000,548.875,0,111.34812,51.76462,79.81983,200,164,364,0,0,0,3,74.6172772,5041.976,14.88125,NA,NA,NA,NA,NA,1295.008,4621.755769,5894.375,0
283,F,10mg,31.96,0.07,979000,405.8125,0,75.6846,128.6545,33.76975,135,95,230,0,0,1,0,44.17714598,209.0268,12.36875,NA,NA,NA,NA,NA,227.1425,4198.455879,9328.125,0
284,F,10mg,28.03,0.08,592000,278.6875,0,31.56645,390.3807,56.01611,0,0,0,0,1,1,2,63.64133406,118.0294,13.8375,NA,NA,NA,NA,NA,193.2608,4326.905141,13742.5,0
285,F,10mg,27.35,0.04,411000,446.4375,0.102858806,34.168455,114.8604,35.31804,0,0,0,0,0,0,0,NA,2396.766,11.8125,NA,NA,NA,NA,NA,396.051,2192.647166,11835.625,0
286,M,10mg,38.62,0.13,1640000,400.1875,0,57.122265,280.1584,91.7367,160,103,263,0,2,1,0,533.1055221,856.5322,21.19375,NA,NA,NA,NA,NA,716.4681,3692.912901,9195,0
287,M,10mg,35.17,0.13,19400000,873.4375,0,128.861715,212.7213,47.84567,342,295,637,0,2,2,0,605.1940951,663.881,14.4125,NA,NA,NA,NA,NA,756.349,7296.569364,14678.75,0
288,M,10mg,32.41,0.09,14400000,1041.125,8.589080818,303.44985,228.2098,37.61267,390,330,720,0,3,0,2,597.4576271,483.8692,14.55625,NA,NA,NA,NA,NA,435.2478,6684.879155,15206.25,0
289,M,10mg,27.45,0.11,47600000,788,27.01693669,223.4271,237.8158,77.94852,220,285,505,0,1,0,3,95.37998907,1093.4504,14.1875,NA,NA,NA,NA,NA,858.5042,6603.494136,15489.375,0
290,M,10mg,33.46,0.09,14200000,1466.625,72.79206479,220.1355,795.6085,119.8556,283,265,548,0,3,2,0,46.13176599,94.36716,13.45625,NA,NA,NA,NA,NA,254.2742,3283.831039,8592.5,0
291,M,10mg,28.91,0.09,15200000,1384.375,12.18358259,146.334075,255.1556,66.07006,145,140,285,0,0,0,1,59.07599781,247.9074,15.48125,NA,NA,NA,NA,NA,418.8813,4960.222908,12570,0
292,M,10mg,34.99,0.05,6330000,907.125,6.500422294,252.714,478.8102,76.77462,260,210,470,0,0,0,2,654.6610169,110.56118,16.7125,NA,NA,NA,NA,NA,267.4223,2799.426676,14187.5,0
293,M,10mg,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,#VALUE!,NA,NA,NA,NA,NA,NA,NA,NA,NA
294,M,10mg,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,#VALUE!,NA,NA,NA,NA,NA,NA,NA,NA,NA
295,M,10mg,26.74,0.1,26300000,1681.1875,5.66612238,222.22635,148.0655,24.34599,367,328,695,0,3,4,3,50.88846364,329.7222,14.0875,NA,NA,NA,NA,NA,471.4862,6504.800885,14419.375,0
296,F,PBS,30.93,0.12,235000,336.5,0.044425142,15.662325,51.56459,4.599486,0,0,0,0,0,0,0,30.12813835,4184.024,11.96875,NA,NA,NA,NA,NA,1755.467,2460.677379,13808.125,0
297,F,PBS,19.61,0.04,199000,386.4375,4.187288423,12.4243905,56.50084,7.571963,0,0,0,0,0,0,0,12.93363892,248.58,11.28125,NA,NA,NA,NA,NA,167.2889,NA,10862.5,0
298,F,PBS,43.52,0.07,469000,488.5,2.986480861,25.246395,108.818,15.6077,0,0,0,0,2,0,0,15.85321388,732.2728,13.6875,NA,NA,NA,NA,NA,515.8098,3854.558176,1813.125,0
299,F,PBS,23.04,0.08,240000,312.4375,0.132240169,48.26865,407.5976,50.97524,0,0,0,0,3,2,3,595.5803228,325.7652,12.9875,9.023169497,16.01238557,625.3908693,625.3908693,361.237203,425.8427,2553.323572,11541.875,0
300,F,PBS,26.24,0.08,364000,382.875,0.282529612,38.237535,59.91901,6.699912,0,0,0,0,0,0,0,15.48598812,286.4994,13.575,NA,NA,NA,NA,NA,204.81,1896.854595,7373.125,0
301,F,10mg,25.24,0.06,645000,797.6875,28.29183445,23.569695,41.64396,9.662705,28,15,43,0,0,0,0,36.26298524,121.32894,12.29375,NA,NA,NA,NA,NA,485.5955,3284.383758,9050,0
302,F,10mg,28.14,0.12,1020000,437.1875,0.093876861,83.372685,72.47723,21.97355,62,12,74,0,1,0,1,86.71405139,220.316,14.56875,NA,NA,NA,NA,NA,559.1587,1670.636438,9373.75,0
303,F,10mg,26.51,0.08,223000,343.5,0,20.019915,99.20464,18.47183,1,0,1,0,1,0,0,NA,153.79572,12.73125,NA,NA,NA,NA,NA,206.4942,NA,11611.875,0
304,F,10mg,26.02,0.08,3050000,1069.9375,0.859736722,136.03794,178.6878,56.44501,411,295,706,0,2,1,2,381.1645708,187.3481,19.6125,8.206708716,15.88063736,37.5547217,19.81707317,2236.999816,373.2955,6664.235283,13109.375,0.5
305,F,10mg,28.66,0.08,381000,496,0.42288819,44.09763,93.36992,17.37023,98,57,155,0,1,0,0,62.97156916,212.8406,14.58125,NA,NA,NA,NA,NA,305.8552,1326.637468,8810.625,0
306,F,10mg,23.06,0.05,3120000,955.1875,0.645870266,217.49955,106.4095,71.35618,374,125,499,0,1,0,0,152.4740295,247.5046,15.46875,NA,NA,NA,NA,NA,287.2838,5753.139343,11544.375,0
307,F,10mg,24.74,0.12,23300000,1173.875,43.20261245,204.91815,68.8587,58.15685,385,160,545,0,1,4,2,753.2394751,342.4926,16.28125,25.42646216,22.69881918,625.3908693,625.3908693,2369.421907,566.4336,8878.366996,11833.125,3
308,F,10mg,25.44,0.07,4160000,1570.375,8.591288918,149.329635,192.8232,76.33315,265,160,425,0,1,1,2,129.0049207,580.4504,24.4375,NA,NA,NA,NA,NA,683.6386,7253.743281,11629.375,3
309,F,10mg,33.26,0.11,428000,387.125,0.001371459,28.279875,82.26839,10.84913,4,0,4,1,1,0,1,36.41334062,1140.0656,19.39375,NA,NA,NA,NA,NA,1108.941,4522.015057,7562.5,0.5
310,F,10mg,19.01,0.07,3820000,1015.375,4.186937823,189.58755,74.28869,67.32975,173,75,248,0,0,0,2,680.2351011,734.4936,12.125,9.962729358,12.66894295,625.3908693,625.3908693,547.6673428,427.1009,2564.8727,6973.125,0
311,M,10mg,34.21,0.11,334000,501.125,1.491136612,25.606185,101.1661,22.96308,85,42,127,0,0,0,4,734.8687808,370.0984,17.08125,32.04558486,40.90197752,625.3908693,625.3908693,687.9033745,492.4213,4979.12359,14989.375,0
312,M,10mg,40.94,0.12,6380000,904.6875,7.01401738,161.16525,170.4363,82.26995,333,235,568,0,1,2,3,669.177146,421.6508,23.46875,10.24225917,12.22079954,625.3908693,625.3908693,788.1707542,766.6046,479.8102218,15434.375,0
313,M,10mg,35.5,0.14,2110000,827.5625,37.74892846,106.783065,260.899,57.10756,165,190,355,0,0,2,2,527.3646802,57.29112,11.58125,NA,NA,NA,NA,NA,226.4338,2559.304922,8826.25,0
314,M,10mg,32.76,0.08,1570000,843.4375,10.19776497,96.067095,73.33399,55.66155,203,150,353,0,4,3,4,717.6735921,455.4268,15.2875,10.8694094,27.24427372,625.3908693,625.3908693,3052.415637,331.7188,5724.392141,15101.25,0
315,M,10mg,35.72,0.12,252000,252.0625,4.492791279,38.48103,137.9618,19.0064,0,0,0,0,0,0,0,94.68288682,62.76604,12.2625,NA,NA,NA,NA,NA,243.9466,NA,7560,0
316,M,10mg,33.36,0.07,1770000,521.375,4.728472807,55.76049,95.57573,23.30197,108,50,158,0,0,0,0,NA,80.06042,12.825,NA,NA,NA,NA,NA,219.175,2189.317322,15353.125,0
317,M,10mg,32.19,0.08,3940000,898.0625,5.691872737,127.10499,204.8966,24.31046,240,215,455,0,1,0,0,333.5155823,144.87996,13.19375,NA,NA,NA,NA,NA,355.6868,5974.721808,15666.875,0
318,M,10mg,37.21,0.06,3360000,678.4375,5.005501971,62.14926,68.21505,38.1508,195,175,370,0,1,2,4,729.4969929,130.64916,12.6125,20.78913417,11.25693555,625.3908693,625.3908693,483.9111193,299.5338,4365.784886,14395.625,0
319,M,10mg,31.36,0.13,4040000,550.0625,4.046236805,45.10824,61.40776,35.25895,51,150,201,0,0,0,3,713.2996173,223.1222,11.825,6.791141055,9.731113956,625.3908693,321.7323327,742.7392587,332.1601,715.0471736,11529.375,0
320,M,10mg,31.72,0.1,6520000,896.125,44.7676072,214.4232,157.4637,57.20789,142,175,317,0,0,2,1,48.57845817,51.36194,12.7875,NA,NA,NA,NA,NA,242.7716,3618.535435,14044.375,0
